"Data-base,""Código Município"",""Município"",""Código Estado"",""Estado"",""Sigla Região"",""Região"",""Valor Pagador PF "",""Quantidade de Transações Pagador PF"",""Valor Pagador PJ"",""Quantidade de Transações Pagador PJ"",""Valor Recebedor PF"",""Quantidade de Transações Recebedor PF"",""Valor Recebedor PJ"",""Quantidade de Transações Recebedor PJ"",""Quantidade Pagador Pessoa PF"",""Quantidade Pagador Pessoa PJ"",""Quantidade Recebedor Pessoa PF"",""Quantidade Recebedor Pessoa PJ"""
"202401,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",10800315.48,62199,2839755.49,3729,10271420.56,35999,2430478.61,10488,2744,165,2574,164"
"202504,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",15755561.11,96117,4071847.14,5700,15814507.82,49820,3854238.63,17152,3213,190,3028,193"
"202306,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",9804576.17,37413,4770495.32,2931,11443217,23609,5021217.59,8271,2318,157,2302,148"
"202211,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",8100209.35,36026,3740849.26,3503,8960701.87,25610,4893164.84,8983,2550,209,2593,198"
"202302,5108204,""TORIXORÉU"",51,""MATO GROSSO"",""CO"",""CENTRO-OESTE"",8342852.93,29614,2134258.14,1758,8108423.22,22310,1637262.16,4587,1918,99,1796,100"
"202403,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",12625990.68,61009,9715776.88,4149,13120453.21,34391,8097151.41,12339,2662,186,2609,168"
"202212,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",39735642.83,209093,6520498.26,4876,40821006.75,171720,5888536.78,20527,11521,288,11597,255"
"202410,4310330,""IMBÉ"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",95653641.92,557993,45907620.53,51008,101011038.94,324370,42894938.53,139574,16093,1454,15603,1363"
"202504,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",17282172.06,75448,9993430.42,5490,19232393.7,38617,10523057.69,16404,2962,223,2886,212"
"202204,4303558,""CAMARGO"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",2410042.74,6935,2024638.93,864,1618248.43,3859,3428456.83,1727,869,93,703,90"
"202212,3148301,""PAULA CÂNDIDO"",31,""MINAS GERAIS"",""SE"",""SUDESTE"",9192024.35,36902,1727667.79,1553,8529582,27789,1351152.19,3045,2723,120,2795,115"
"202311,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",57253670.93,393785,6145550.59,6568,55031375.85,265010,6890984.93,34535,14861,331,14530,295"
"202312,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",13018714.33,58608,6451025.18,4638,14045927.35,35047,6103231.97,13515,2556,170,2539,161"
"202504,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",19354631.91,112550,13268758.43,9011,21169417.56,58373,9857821.15,25665,3944,301,3894,287"
"202302,3148301,""PAULA CÂNDIDO"",31,""MINAS GERAIS"",""SE"",""SUDESTE"",7961197.82,33917,1480623.68,1273,7576902.32,24716,972061.67,2810,2773,128,2826,122"
"202408,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",81852737.42,564192,9852103.97,11324,77335652.81,360923,11126130.22,59711,17264,386,16611,342"
"202407,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",74808393.79,532260,10184407.72,10308,71138254.4,343744,10660912.69,55265,16941,372,16339,338"
"202205,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",5186725.25,21954,1692719.37,1896,5200519.52,16911,1615282.75,3821,1721,133,1696,120"
"202403,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",11946126.88,70295,3279183.14,4119,11722068.4,40491,3951067.43,12293,2801,171,2701,166"
"202310,4321451,""TEUTÔNIA"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",55647617.98,276280,72619853.32,36285,55095459.54,153228,86053668.88,110485,16418,1869,15191,1880"
"202011,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",368178.23,1004,91548.61,23,353583.39,972,156785.97,35,360,7,384,9"
"202104,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",1636362.08,4502,1559182.03,669,2467402.9,4421,2382820.37,1007,841,89,926,94"
"202208,3303500,""NOVA IGUAÇU"",33,""RIO DE JANEIRO"",""SE"",""SUDESTE"",1518322338.31,9023135,512468997.11,446661,1609512192.99,7927616,478465844.16,894912,435155,19982,440116,18785"
"202202,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",5723957.01,14889,2277507.92,1303,5011090.58,11447,1746031.72,2508,1514,118,1470,104"
"202203,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",5095796.94,18239,1481556.74,1689,4785887.94,14842,1477570.09,3009,1560,123,1530,113"
"202505,4303558,""CAMARGO"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",2866318.06,11994,8910024.73,1020,2800671.76,5262,10606233.79,2624,1305,149,1014,140"
"202403,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",13412620.42,85314,5856097.35,6443,14837178.49,47178,7110045.22,19981,3386,252,3382,243"
"202503,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",93895911.3,601852,16502307.46,14536,89529549.84,374578,17243009.4,74830,17874,435,17273,375"
"202101,4303558,""CAMARGO"",43,""RIO GRANDE DO SUL"",""SU"",""SUL"",275202.08,618,445713.41,90,275281.02,423,1341865.97,210,214,22,150,35"
"202408,2104628,""GOVERNADOR LUIZ ROCHA"",21,""MARANHÃO"",""NE"",""NORDESTE"",18703556.96,148589,2253377.39,3039,16885280.43,88660,2527044.95,11825,3810,62,3651,67"
"202210,5006259,""NOVO HORIZONTE DO SUL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",7145552.1,28239,3425831.99,1692,6237171.23,23103,3080321.76,4331,2036,95,1958,95"
"202212,2105005,""HUMBERTO DE CAMPOS"",21,""MARANHÃO"",""NE"",""NORDESTE"",17721710.85,143131,3787009.75,2688,16530567.27,109533,2106281.65,9865,7002,106,6844,103"
"202011,5108204,""TORIXORÉU"",51,""MATO GROSSO"",""CO"",""CENTRO-OESTE"",188172.08,269,7101,8,127453.54,250,1100,1,104,4,118,1"
"202310,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",11156492.15,63536,6071977.21,5892,12285546.42,38172,7285281.03,15614,3093,239,3140,238"
"202112,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",18370414.49,74758,3200834.03,2133,18656084.95,72323,2845556.37,4671,6644,182,7280,176"
"202211,2909000,""CORDEIROS"",29,""BAHIA"",""NE"",""NORDESTE"",7272155.14,30644,1082172.12,1155,7315473.02,21503,1066334.68,2514,2182,77,2197,81"
"202105,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",2766616.8,5328,779942.1,514,2918780.42,5036,1009645.72,638,908,72,879,74"
"202012,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",316604.29,922,37977.67,58,342584.48,838,20900,30,249,12,266,7"
"202302,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",8053537.71,38252,4040830.76,3973,9054936.52,26052,4275359.44,10264,2712,221,2733,209"
"202503,2104628,""GOVERNADOR LUIZ ROCHA"",21,""MARANHÃO"",""NE"",""NORDESTE"",21189431.88,167601,2501558.88,3251,19870928.47,100438,2584506.53,13605,3951,70,3835,69"
"202107,5002803,""CARACOL"",50,""MATO GROSSO DO SUL"",""CO"",""CENTRO-OESTE"",2919951.38,8811,530900.25,781,2948252.65,8159,898562.18,1223,1098,91,1044,75"
"202201,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",5139836.44,16892,3296248.62,1794,5595382.9,13902,4032702.01,4346,1847,159,1844,158"
"202202,2933174,""VARZEDO"",29,""BAHIA"",""NE"",""NORDESTE"",4895560.79,23794,2093461.5,1080,4871362.63,21557,1993186.38,1248,1869,73,2026,71"
"202210,2909000,""CORDEIROS"",29,""BAHIA"",""NE"",""NORDESTE"",6593964.11,31958,1304037.31,1208,6689151.93,21167,1025778.08,2346,2184,88,2169,82"
"202304,2605301,""EXU"",26,""PERNAMBUCO"",""NE"",""NORDESTE"",39313273.42,239366,4638199.17,4868,39645522.99,181000,5143652.34,23541,12668,300,12639,282"
"202404,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",14077049.06,86395,6807566.65,6936,14603882.68,46409,7322356.83,18640,3419,263,3396,245"
"202402,4115002,""MARILENA"",41,""PARANÁ"",""SU"",""SUL"",12669440.01,76017,5870457.37,6365,13128607.02,41961,6751956.56,18188,3337,251,3352,247"
"202302,4126900,""TAPIRA"",41,""PARANÁ"",""SU"",""SUL"",8420126.9,28324,5259949.49,2764,9233491.55,19083,4862415.28,6690,2154,141,2071,146"
